Progress,Duration (in seconds),Finished,TA_ID,S1,S2,S3,S4,S5,S6,S7,Eng,I1,I2,I3,I4,I5,I6,I7,inst,C1,C2,C3,C4,C5,course,St_Year,St_Gender,Gender_3_TEXT,St_Race,Race_9_TEXT,Race_7_TEXT,Int'l,first_gen
100,162,1,12,6,6,6,5,6,6,5,5.714285714,5,6,6,6,5,5,6,5.571428571,4,5,5,5,6,5,1,0,,2,,,0,2
100,250,1,44,4,6,6,6,6,6,6,5.714285714,6,6,6,5,5,6,6,5.714285714,5,5,5,5,,5,1,0,,2,,,0,2
100,332,1,21,5,6,5,5,6,5,6,5.428571429,6,6,5,6,5,6,6,5.714285714,5,5,4,5,6,5,1,0,,2,,,0,2
100,385,1,10,6,6,5,6,4,6,6,5.571428571,6,6,6,5,5,6,6,5.714285714,6,4,6,4,,5,1,0,,2,,,0,2
100,251,1,46,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5.714285714,5,5,5,5,5,5,1,0,,2,,,0,2
100,551,1,79,5,5,6,6,5,5,6,5.428571429,6,6,6,6,5,6,6,5.857142857,5,5,5,5,5,5,2,0,,2,,,0,2
100,154,1,31,5,4,6,5,6,6,6,5.428571429,6,6,6,6,5,6,6,5.857142857,5,5,5,5,5,5,2,0,,2,,,0,2
100,136,1,21,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,1,0,,2,,,0,2
100,265,1,82,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,1,0,,2,,,0,2
100,260,1,24,5,5,6,6,5,5,6,5.428571429,6,6,6,6,6,6,6,6,4,6,5,4,6,5,6,0,,2,,,0,2
100,691,1,41,6,6,5,6,5,5,6,5.571428571,6,6,6,6,6,6,6,6,5,5,6,5,4,5,1,0,,2,,,1,2
100,134,1,15,5,5,4,6,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,1,0,,2,,,0,2
100,168,1,29,5,5,5,5,5,4,6,5,6,6,6,6,6,6,6,6,6,5,4,5,5,5,2,0,,2,,,0,2
100,193,1,87,5,4,5,6,6,6,6,5.428571429,6,6,6,6,6,6,6,6,3,6,5,6,5,5,2,0,,2,,,0,2
100,262,1,12,3,4,5,5,5,5,4,4.428571429,5,4,3,3,6,4,5,4.285714286,4,6,5,5,4,4.8,1,0,,2,,,0,2
100,327,1,34,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4.428571429,5,5,4,5,5,4.8,3,0,,2,,,0,2
100,568,1,35,5,4,4,5,4,4,5,4.428571429,5,4,,4,5,4,5,4.5,5,6,5,3,5,4.8,1,0,,2,,,0,2
100,165,1,9,2,6,4,5,5,5,6,4.714285714,6,4,5,4,4,4,5,4.571428571,5,5,4,5,5,4.8,1,0,,2,,,0,2
100,197,1,58,5,3,4,5,3,4,5,4.142857143,5,5,5,4,5,4,5,4.714285714,5,5,4,4,6,4.8,1,0,,2,,,0,2
100,216,1,55,5,4,5,5,5,6,5,5,5,5,5,4,4,5,5,4.714285714,5,5,4,5,5,4.8,1,0,,2,,,0,2
100,235,1,49,4,4,5,5,4,5,5,4.571428571,5,5,5,5,4,5,5,4.857142857,5,5,4,5,5,4.8,1,0,,2,,,0,2
100,322,1,79,5,4,5,5,5,4,5,4.714285714,5,5,5,5,4,5,5,4.857142857,5,5,4,5,5,4.8,4,0,,2,,,0,2
100,134,1,15,5,3,5,5,4,4,5,4.428571429,6,4,5,4,5,5,5,4.857142857,5,5,5,5,4,4.8,1,0,,2,,,0,2
100,260,1,50,3,4,,5,5,3,6,4.333333333,6,4,4,3,5,6,6,4.857142857,4,5,4,5,6,4.8,2,0,,2,,,0,2
100,240,1,79,5,5,5,5,4,5,5,4.857142857,5,5,5,5,5,5,5,5,5,5,5,5,4,4.8,4,0,,2,,,0,2
100,352,1,8,5,5,5,6,6,5,6,5.428571429,6,5,5,5,4,4,6,5,5,4,5,5,5,4.8,2,0,,2,,,1,2
100,604,1,56,4,5,5,5,5,5,5,4.857142857,6,4,4,5,6,,5,5,5,5,4,5,5,4.8,1,0,,2,,,0,1
100,495,1,19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.8,2,0,,2,,,0,2
